id_registro,ingresos_mensuales,egresos_mensuales,nivel_endeudamiento,capacidad_pago,tipo_credito,monto_solicitado,plazo_meses,antiguedad_laboral_anios,mora
1,350.0,210.59,34.45,139.41,Vivienda,9909.07,180,2.6,0
2,889.76,484.47,35.27,405.29,Consumo,1759.15,36,2.4,0
3,1500.6,474.32,38.16,1026.28,Microcrédito,6095.28,6,5.0,0
4,1916.87,1164.72,31.14,752.15,Microcrédito,8773.27,24,4.3,0
5,1240.68,849.95,36.69,390.73,Consumo,6131.17,24,2.0,0
6,471.66,306.81,6.53,164.85,Microcrédito,2826.83,12,8.6,0
7,751.78,461.2,51.43,290.58,Consumo,3006.42,12,4.6,0
8,941.5,556.44,47.4,385.06,Consumo,2392.6,6,2.9,0
9,869.53,543.33,38.76,326.2,Consumo,2592.16,48,4.3,0
10,908.18,552.31,29.22,355.87,Microcrédito,1815.67,6,7.4,0
11,597.92,266.31,21.82,331.61,Consumo,2497.09,6,2.2,0
12,658.87,213.52,19.79,445.35,Consumo,925.43,6,0.6,0
13,373.43,212.68,2.0,160.75,Consumo,1280.75,36,6.3,0
14,1685.35,570.7,46.97,1114.65,Consumo,7092.12,24,7.5,0
15,809.5,263.74,15.6,545.76,Consumo,2796.63,6,4.8,0
16,1309.5,640.42,37.64,669.08,Vivienda,19675.93,120,5.9,0
17,1133.76,414.25,38.68,719.51,Microcrédito,5894.71,12,7.8,0
18,875.79,430.58,18.46,445.21,Consumo,3303.39,6,11.4,0
19,724.67,282.23,30.88,442.44,Microcrédito,4936.02,18,1.3,0
20,1054.13,655.14,77.84,398.99,Vivienda,9886.67,120,5.9,1
21,772.77,359.01,27.46,413.76,Consumo,2829.37,36,2.7,0
22,788.0,408.21,20.19,379.79,Microcrédito,4607.98,24,2.8,1
23,967.04,681.86,41.63,285.18,Consumo,2877.55,6,3.2,1
24,1407.81,710.93,8.83,696.88,Vivienda,40210.82,84,1.4,0
25,1247.44,729.99,36.82,517.45,Consumo,4955.37,36,2.5,0
26,879.49,373.03,48.03,506.46,Consumo,3295.81,48,6.2,0
27,1164.46,420.29,15.51,744.17,Vivienda,15074.25,240,1.6,0
28,871.0,702.61,71.72,168.39,Microcrédito,3823.72,24,2.4,1
29,394.15,219.04,23.76,175.11,Microcrédito,2456.57,18,3.4,0
30,778.87,507.38,71.83,271.49,Consumo,3659.44,6,2.2,1
31,350.0,266.19,33.43,83.81,Consumo,1353.22,36,3.7,0
32,1944.31,1401.39,4.74,542.92,Consumo,2138.42,6,1.0,0
33,1668.39,1068.01,3.97,600.38,Consumo,7616.26,18,0.9,0
34,1946.34,1173.54,33.54,772.8,Microcrédito,3841.84,12,11.8,0
35,575.05,250.33,2.0,324.72,Consumo,2523.98,12,4.4,0
36,1093.78,596.96,2.0,496.82,Comercial,9930.79,24,4.9,0
37,1357.15,415.67,38.27,941.48,Consumo,5685.34,36,5.7,0
38,399.97,128.08,28.65,271.89,Microcrédito,1548.69,36,5.0,0
39,844.2,657.68,21.74,186.52,Consumo,1906.45,6,3.4,0
40,1122.64,705.67,18.71,416.97,Microcrédito,2594.13,36,4.6,0
41,793.29,499.56,15.95,293.73,Microcrédito,3447.29,18,14.2,0
42,767.95,494.87,45.05,273.08,Consumo,1805.63,18,1.3,0
43,887.94,667.99,28.89,219.95,Vivienda,27313.75,120,3.9,0
44,586.99,371.77,42.05,215.22,Consumo,778.98,12,6.3,0
45,495.35,236.88,2.0,258.47,Microcrédito,1347.97,18,7.6,0
46,1034.18,709.6,49.73,324.58,Vivienda,35714.99,120,13.8,0
47,966.53,355.78,18.79,610.75,Vivienda,11070.94,84,9.6,1
48,505.65,287.71,23.83,217.94,Consumo,791.98,24,3.3,0
49,633.16,210.98,38.49,422.18,Microcrédito,1201.34,36,4.9,0
50,785.28,552.56,58.04,232.72,Consumo,3471.26,48,3.3,0
51,432.33,254.1,77.66,178.23,Comercial,3131.16,60,1.1,1
52,1873.39,1779.72,46.87,93.67,Vivienda,43188.77,60,3.1,0
53,1272.22,592.31,29.78,679.91,Microcrédito,1909.6,36,3.8,0
54,1446.81,859.89,33.92,586.92,Microcrédito,5295.32,24,1.0,0
55,584.78,498.04,34.97,86.74,Microcrédito,2199.65,18,3.0,1
56,1625.73,914.48,32.65,711.25,Vivienda,19249.4,120,11.3,0
57,733.21,372.88,2.0,360.33,Vivienda,18500.54,180,13.1,0
58,467.67,256.47,13.9,211.2,Vivienda,7264.67,180,2.2,1
59,1536.34,827.85,19.32,708.49,Consumo,6577.95,48,8.5,0
60,471.72,373.27,11.11,98.45,Vivienda,5605.05,180,6.0,0
61,773.4,399.51,16.07,373.89,Consumo,2753.83,18,1.4,1
62,1143.06,910.9,57.86,232.16,Comercial,3817.12,24,7.8,1
63,1197.05,743.81,30.66,453.24,Microcrédito,7354.03,18,3.4,0
64,2256.35,1189.01,42.24,1067.34,Consumo,2431.21,6,2.6,0
65,1592.85,1041.39,48.94,551.46,Microcrédito,4695.83,18,3.7,1
66,396.94,275.18,49.11,121.76,Consumo,1448.56,48,6.5,0
67,606.22,280.33,2.0,325.89,Comercial,5433.27,36,0.6,0
68,678.92,519.6,45.05,159.32,Vivienda,19667.76,240,8.0,0
69,1011.3,625.09,33.4,386.21,Consumo,2692.42,18,3.2,1
